Wholesale broiler composite,OT,Retail-wholesale spread for broiler composite,date,start_date,end_date,search_fact,report_fact
51.27,154.29,103.02,2000-01-01,2000-01-01,2000-01-31,"The United States animal feed industry has export promotion programs, but no specific information about the broiler market is mentioned.; Among the agencies that oversee the safety of the U.S. food supply is the Department of Agriculture (USDA), charged with regulating meat and poultry and foods.; The United States continued to be the principal foreign market for organic products.; The United States produces and markets billions of agricultural products.",NA
49.49,150.67,101.18,2000-02-01,2000-02-01,2000-02-29,"The United States produces and markets billions of agricultural products.; NA (No relevant information found about the United States broiler market situation); The U.S. broiler market has experienced a decrease in per capita consumption, which has led to a decrease in broiler slaughter.; NA (No relevant information found about the United States broiler market situation); The United States exports organic soybeans to other countries, which are used to produce products like organic tofu, soy milk, and soy sauce.",NA
51.26,155.21,103.95,2000-03-01,2000-03-01,2000-03-31,"The United States exports organic soybeans to other countries, which are used to produce products like organic tofu, soy milk, and soy sauce.; In the United States, more than 80% of poultry is produced by corporations.; The United States broiler market is not mentioned in the provided search results.; The growth rate of the broiler industry is 2.8% per annum.; The U.S. poultry meat is currently not permitted entry into the EU due to recent changes in EU import regulations.",NA
52.12395358,156.2,104.07604642,2000-04-01,2000-04-01,2000-04-30,"The U.S. poultry meat is currently not permitted entry into the EU due to recent changes in EU import regulations.; The United States is a significant player in the global poultry market, with soybean meal being a low-cost, high-protein feed ingredient that triggered explosive growth in U.S. livestock and poultry production in the 1950s.; The United States broiler market experienced lower market demand in 2000.",NA
48.63178788,156.68,108.04821212,2000-05-01,2000-05-01,2000-05-31,The United States broiler market is not mentioned in the provided search results.; The current tariff structure has limited the demand for U.S. vegetable oil imports.,NA
52.1784828,155.1,102.9215172,2000-06-01,2000-06-01,2000-06-30,"The current tariff structure has limited the demand for U.S. vegetable oil imports.; The United States poultry producers faced market losses in Europe.; The consumption of poultry has declined.; The United States broiler market is not directly mentioned in the search results. However, there is a mention of the livestock auction feeder cattle market price reporting in Nebraska.",NA
50.42756682,155.82,105.39243318,2000-07-01,2000-07-01,2000-07-31,"The United States broiler market is not directly mentioned in the search results. However, there is a mention of the livestock auction feeder cattle market price reporting in Nebraska.; NA (No relevant information found about the United States broiler market situation); The United States has a voluntary Federal-State egg grading system, and market price reporting is conducted in terms understood by all stakeholders.; The price of catfish products in the U.S. domestic market was an issue in 2000, with market-sized catfish not being able to keep up with processor demand.",NA
51.62057568,158.25,106.62942432,2000-08-01,2000-08-01,2000-08-31,"The price of catfish products in the U.S. domestic market was an issue in 2000, with market-sized catfish not being able to keep up with processor demand.; NA (No relevant information found about the United States broiler market situation); The United States broiler market has opportunities for whole chicken exports, particularly in Colombia, where US products are priced slightly lower than local products.; The United States broiler market is not directly mentioned in the provided search results. However, there are mentions of the livestock industry and related products, such as dairy and beef cattle, which could have indirect implications for the broiler market.",NA
57.32,156.82,99.5,2000-09-01,2000-09-01,2000-09-30,The U.S. broiler industry is susceptible to market pressure to consolidate if growth in demand were to stall.; Objective facts about the United States broiler market situation: NA (no relevant information found),NA
60.81,156.25,95.44,2000-10-01,2000-10-01,2000-10-31,"Objective facts about the United States broiler market situation: NA (no relevant information found); The United States poultry industry is a significant contributor to the country's domestic production, valued at market prices.; The broiler industry in the United States has a growth pattern of around 13-14%",NA
60.27,151.45,91.18,2000-11-01,2000-11-01,2000-11-30,"The broiler industry in the United States has a growth pattern of around 13-14%; NA (No information found related to the United States broiler market); The United States has a large agricultural sector, with various sub-sectors such as crop production, livestock, and food consumption.",NA
57.09,157.15,100.06,2000-12-01,2000-12-01,2000-12-31,"The United States Department of Agriculture is involved in the meat and poultry industry.; The wholesale poultry prices are affected by demand drivers in the poultry market.; The United States is a major export market for South African Kosher products, including broiler meat.; The Kerry Group Plc 2000 Annual Report mentions that Kerry continued to advance its position in foodservice markets and made excellent progress in the food processing markets of value-added poultry in the US.",NA
51.56,157.25,105.69,2001-01-01,2001-01-01,2001-01-31,"The price elasticity of import demand for broilers in the United States market is relatively low.; The United States has a large poultry industry, with beef and poultry being the largest agricultural industries in some states.; The U.S. Environmental Protection Agency (EPA) is revising and updating regulations related to manure, wastewater, and other process waste from animal feeding operations, including broiler farms.; The United States tends to export dark poultry meat, while U.S. consumers prefer white poultry meat.; The United States broiler industry is expected to continue growing, but the rate of growth is uncertain.",NA
58.99,154.95,95.96,2001-02-01,2001-02-01,2001-02-28,"The United States broiler industry is expected to continue growing, but the rate of growth is uncertain.; NA (No relevant information found about the United States broiler market situation)",NA
59.68,155.96,96.28,2001-03-01,2001-03-01,2001-03-31,"The cost of broilers exported from the United States is a relevant factor in the market.; The United States has laws and regulations in place for the poultry industry, such as the Poultry Products Inspection Act.",NA
60.87,156.55,95.68,2001-04-01,2001-04-01,2001-04-30,"The United States has laws and regulations in place for the poultry industry, such as the Poultry Products Inspection Act.; NA (No relevant information found about the United States broiler market situation)",NA
65.29,155.02,89.73,2001-05-01,2001-05-01,2001-05-31,NA (No relevant information found about the United States broiler market situation); The United States has been gaining market share in Dominica and other countries during the past 15 years.; The United States broiler cost and returns estimates were updated by Christensen in 2001.,NA
65.5,154.81,89.31,2001-06-01,2001-06-01,2001-06-30,NA,NA
65.1,158.5,93.4,2001-07-01,2001-07-01,2001-07-31,"NA (No relevant information found about the United States broiler market situation); The United States has a significant demand for poultry, which is likely to encourage a high market demand.; Objective facts about the United States broiler market situation: 
NA (No relevant information found); NA (No relevant information about the United States broiler market was found in the search results.); The largest poultry producer in the United States has an impact on consumption among adults.",NA
66.54,161.4553566,94.9153566,2001-08-01,2001-08-01,2001-08-31,The largest poultry producer in the United States has an impact on consumption among adults.; The United States will become an even more dominant player in the global market demand for poultry meat.; NA (No relevant information found about the United States broiler market situation),NA
68.27164216,157.4859172,89.21427504,2001-09-01,2001-09-01,2001-09-30,"NA (No relevant information found about the United States broiler market situation); The United States has a significant import market for food and agricultural products, with Saudi Arabia being a $5 billion market and the U.S. holding a 12% share.",NA
