Wholesale broiler composite,OT,Retail-wholesale spread for broiler composite,date,start_date,end_date,search_fact,report_fact,search_fact_summary_gpt_5_2
51.27,154.29,103.02,2000-01-01,2000-01-01,2000-01-31,"The United States animal feed industry has export promotion programs, but no specific information about the broiler market is mentioned.; Among the agencies that oversee the safety of the U.S. food supply is the Department of Agriculture (USDA), charged with regulating meat and poultry and foods.; The United States continued to be the principal foreign market for organic products.; The United States produces and markets billions of agricultural products.",,"USDA regulates meat and poultry safety, but the provided items include no broiler-specific production, demand, or price information relevant to near-term U.S. Retail Broiler Composite forecasting. Other references (feed export promotion programs, organic products market, and broad U.S. agricultural output) contain no direct details on chicken supply chains, costs, or retail poultry pricing."
49.49,150.67,101.18,2000-02-01,2000-02-01,2000-02-29,"The United States produces and markets billions of agricultural products.; NA (No relevant information found about the United States broiler market situation); The U.S. broiler market has experienced a decrease in per capita consumption, which has led to a decrease in broiler slaughter.; NA (No relevant information found about the United States broiler market situation); The United States exports organic soybeans to other countries, which are used to produce products like organic tofu, soy milk, and soy sauce.",,"U.S. per-capita broiler consumption has declined, contributing to reduced broiler slaughter and implying lower near-term chicken supply. The other items provided contain no additional broiler-market details relevant to retail broiler pricing."
51.26,155.21,103.95,2000-03-01,2000-03-01,2000-03-31,"The United States exports organic soybeans to other countries, which are used to produce products like organic tofu, soy milk, and soy sauce.; In the United States, more than 80% of poultry is produced by corporations.; The United States broiler market is not mentioned in the provided search results.; The growth rate of the broiler industry is 2.8% per annum.; The U.S. poultry meat is currently not permitted entry into the EU due to recent changes in EU import regulations.",,"U.S. poultry production is highly consolidated (over 80% produced by corporations), and the broiler industry is cited as growing at roughly 3% per year. EU regulatory changes are keeping U.S. poultry meat out of the EU market, while the U.S. also exports organic soybeans used in food manufacturing."
52.12395358,156.2,104.07604642,2000-04-01,2000-04-01,2000-04-30,"The U.S. poultry meat is currently not permitted entry into the EU due to recent changes in EU import regulations.; The United States is a significant player in the global poultry market, with soybean meal being a low-cost, high-protein feed ingredient that triggered explosive growth in U.S. livestock and poultry production in the 1950s.; The United States broiler market experienced lower market demand in 2000.",,"EU regulatory changes continue to block U.S. poultry meat from entering the EU market, limiting a potential export outlet for U.S. chicken. Historical context highlighted that low-cost soybean meal supported major expansion in U.S. poultry production, while broiler market demand was weaker in a prior period referenced (2000)."
48.63178788,156.68,108.04821212,2000-05-01,2000-05-01,2000-05-31,The United States broiler market is not mentioned in the provided search results.; The current tariff structure has limited the demand for U.S. vegetable oil imports.,,"No articles provided any U.S. broiler or retail chicken pricing, supply, demand, production, or retail/foodservice movement information relevant to the U.S. Retail Broiler Composite outlook. The only related point was that current tariffs are limiting demand for U.S. vegetable oil imports, with no stated linkage to poultry costs or pricing."
52.1784828,155.1,102.9215172,2000-06-01,2000-06-01,2000-06-30,"The current tariff structure has limited the demand for U.S. vegetable oil imports.; The United States poultry producers faced market losses in Europe.; The consumption of poultry has declined.; The United States broiler market is not directly mentioned in the search results. However, there is a mention of the livestock auction feeder cattle market price reporting in Nebraska.",,"Current tariffs are limiting demand for U.S. vegetable oil imports, and U.S. poultry producers are reporting market losses in Europe alongside a decline in poultry consumption. No direct information on the U.S. broiler market or retail chicken pricing was provided beyond unrelated Nebraska feeder cattle auction price reporting."
50.42756682,155.82,105.39243318,2000-07-01,2000-07-01,2000-07-31,"The United States broiler market is not directly mentioned in the search results. However, there is a mention of the livestock auction feeder cattle market price reporting in Nebraska.; NA (No relevant information found about the United States broiler market situation); The United States has a voluntary Federal-State egg grading system, and market price reporting is conducted in terms understood by all stakeholders.; The price of catfish products in the U.S. domestic market was an issue in 2000, with market-sized catfish not being able to keep up with processor demand.",,"No articles provided contain relevant information on U.S. broiler supply, demand, production costs (feed/energy), processing capacity, trade, or retail chicken pricing; the only references are unrelated items on feeder cattle price reporting, the egg grading/price reporting system, and historical U.S. catfish pricing. As a result, there are no usable facts from this set to inform a 1–7 month forecast for the U.S. Retail Broiler Composite."
51.62057568,158.25,106.62942432,2000-08-01,2000-08-01,2000-08-31,"The price of catfish products in the U.S. domestic market was an issue in 2000, with market-sized catfish not being able to keep up with processor demand.; NA (No relevant information found about the United States broiler market situation); The United States broiler market has opportunities for whole chicken exports, particularly in Colombia, where US products are priced slightly lower than local products.; The United States broiler market is not directly mentioned in the provided search results. However, there are mentions of the livestock industry and related products, such as dairy and beef cattle, which could have indirect implications for the broiler market.",,"U.S. broiler market articles cited opportunities for increased whole chicken exports, especially to Colombia where U.S. products were priced slightly below local chicken. Another report noted U.S. catfish processors faced tight supplies versus demand, indicating strong processor pull in competing protein markets."
57.32,156.82,99.5,2000-09-01,2000-09-01,2000-09-30,The U.S. broiler industry is susceptible to market pressure to consolidate if growth in demand were to stall.; Objective facts about the United States broiler market situation: NA (no relevant information found),,"The U.S. broiler industry is described as vulnerable to consolidation pressure if demand growth stalls. No other relevant, actionable facts on U.S. broiler market conditions or drivers were provided."
60.81,156.25,95.44,2000-10-01,2000-10-01,2000-10-31,"Objective facts about the United States broiler market situation: NA (no relevant information found); The United States poultry industry is a significant contributor to the country's domestic production, valued at market prices.; The broiler industry in the United States has a growth pattern of around 13-14%",,U.S. poultry is a significant contributor to domestic agricultural production by market value. The U.S. broiler industry has shown a long-run growth pattern of roughly 13–14%.
