MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date,search_fact,report_fact
20231226,Total,54.5,45.5,27.07,13.99,5.38,0.97,2023-12-26,2024-01-01,1,2023-12-26,2023-12-26,2024-01-01,"The contiguous U.S. autumn precipitation was above average.; The contiguous United States is expected to experience dry weather by the end of the week, with a high chance of drought persistence.","Monthly Contiguous U.S. Precipitation situation: 
About 37% of the contiguous U.S. fell in the moderate to extreme drought categories (based on the Palmer Drought Index) at the end of December 2023. 
Above-normal precipitation or a re-evaluation of conditions resulted in contraction or reduction in the intensity of drought in the Pacific Northwest, Southwest to Upper Mississippi Valley, and central Gulf of Mexico coast to Mid-Atlantic, as well as much of Hawaii. 
Drought contraction exceeded expansion with the USDM-based national moderate-to-exceptional drought footprint across the CONUS decreasing from 36.1% at the end of November to 33.0% at the end of December.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
- January 2024 was wetter than normal across much of the southern and central Plains to East Coast, and parts of the West. 
- The month ranked as the 18th wettest January in the 1895-2024 record. 
- According to the USDM, 23.52% of the contiguous U.S. was classified as experiencing moderate to exceptional (D1-D4) drought at the end of January. 
- About 19% of the contiguous U.S. fell in the moderate to extreme drought categories (based on the Palmer Drought Index) at the end of January.; The contiguous U.S. precipitation total for December was 2.55 inches, 0.21 inch above average, ranking in the middle third of the historical record.; The January precipitation total for the contiguous U.S. was 3.18 inches, 0.87 inch above average, ranking as the 10th-wettest January in the historical record."
20231219,Total,53.58,46.42,27.88,15.24,5.48,0.93,2023-12-19,2023-12-25,1,2023-12-19,2023-12-19,2023-12-25,"The contiguous United States is expected to experience dry weather by the end of the week, with a high chance of drought persistence.; The contiguous United States is experiencing moderate to exceptional drought, covering 27.9% of the region, including Puerto Rico.","Monthly Contiguous U.S. Precipitation situation: 
About 37% of the contiguous U.S. fell in the moderate to extreme drought categories (based on the Palmer Drought Index) at the end of December 2023. 
Above-normal precipitation or a re-evaluation of conditions resulted in contraction or reduction in the intensity of drought in the Pacific Northwest, Southwest to Upper Mississippi Valley, and central Gulf of Mexico coast to Mid-Atlantic, as well as much of Hawaii. 
Drought contraction exceeded expansion with the USDM-based national moderate-to-exceptional drought footprint across the CONUS decreasing from 36.1% at the end of November to 33.0% at the end of December.; The contiguous U.S. precipitation total for December was 2.55 inches, 0.21 inch above average, ranking in the middle third of the historical record."
20231212,Total,53.01,46.99,28.05,15.34,5.29,0.91,2023-12-12,2023-12-18,1,2023-12-12,2023-12-12,2023-12-18,"The contiguous United States is experiencing moderate to exceptional drought, covering 27.9% of the region, including Puerto Rico.; Much of the contiguous U.S. experienced above-average precipitation in December 2023, with some states in the Southern Region ranking in the top ten for all-time December precipitation records.","Monthly Contiguous U.S. Precipitation situation: 
About 37% of the contiguous U.S. fell in the moderate to extreme drought categories (based on the Palmer Drought Index) at the end of December 2023. 
Above-normal precipitation or a re-evaluation of conditions resulted in contraction or reduction in the intensity of drought in the Pacific Northwest, Southwest to Upper Mississippi Valley, and central Gulf of Mexico coast to Mid-Atlantic, as well as much of Hawaii. 
Drought contraction exceeded expansion with the USDM-based national moderate-to-exceptional drought footprint across the CONUS decreasing from 36.1% at the end of November to 33.0% at the end of December.; The contiguous U.S. precipitation total for December was 2.55 inches, 0.21 inch above average, ranking in the middle third of the historical record."
20231205,Total,53.54,46.46,28.85,15.85,6.2,1.02,2023-12-05,2023-12-11,1,2023-12-05,2023-12-05,2023-12-11,"Much of the contiguous U.S. experienced above-average precipitation in December 2023, with some states in the Southern Region ranking in the top ten for all-time December precipitation records.; In November 2023, precipitation was near to below average across most of the contiguous U.S.","Monthly Contiguous U.S. Precipitation situation: 
About 37% of the contiguous U.S. fell in the moderate to extreme drought categories (based on the Palmer Drought Index) at the end of December 2023. 
Above-normal precipitation or a re-evaluation of conditions resulted in contraction or reduction in the intensity of drought in the Pacific Northwest, Southwest to Upper Mississippi Valley, and central Gulf of Mexico coast to Mid-Atlantic, as well as much of Hawaii. 
Drought contraction exceeded expansion with the USDM-based national moderate-to-exceptional drought footprint across the CONUS decreasing from 36.1% at the end of November to 33.0% at the end of December.; The contiguous U.S. precipitation total for December was 2.55 inches, 0.21 inch above average, ranking in the middle third of the historical record."
20231128,Total,53.21,46.79,30.28,17.12,6.54,1.78,2023-11-28,2023-12-04,1,2023-11-28,2023-11-28,2023-12-04,"In November 2023, precipitation was near to below average across most of the contiguous U.S.; The contiguous United States is expected to experience below-normal precipitation in December 2023, according to the U.S. climate outlook.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a drier-than-normal month in November 2023, with the most extreme dry anomalies over the Plains to Midwest. The upper-level atmospheric circulation pattern led to above-normal temperatures in the north-central part of the country and cooler-than-normal temperatures in the Northeast.; Monthly Contiguous U.S. Precipitation situation: 
About 37% of the contiguous U.S. fell in the moderate to extreme drought categories (based on the Palmer Drought Index) at the end of December 2023. 
Above-normal precipitation or a re-evaluation of conditions resulted in contraction or reduction in the intensity of drought in the Pacific Northwest, Southwest to Upper Mississippi Valley, and central Gulf of Mexico coast to Mid-Atlantic, as well as much of Hawaii. 
Drought contraction exceeded expansion with the USDM-based national moderate-to-exceptional drought footprint across the CONUS decreasing from 36.1% at the end of November to 33.0% at the end of December.; The November precipitation total for the contiguous U.S. was 1.38 inches, 0.85 inch below average, ranking 12th driest in the historical record.; The contiguous U.S. precipitation total for December was 2.55 inches, 0.21 inch above average, ranking in the middle third of the historical record."
20231121,Total,52.84,47.16,31.44,18.1,7.27,2.06,2023-11-21,2023-11-27,1,2023-11-21,2023-11-21,2023-11-27,"The contiguous United States is expected to experience below-normal precipitation in December 2023, according to the U.S. climate outlook.; Moderate to exceptional drought covers 31.4% of the United States including Puerto Rico.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a drier-than-normal month in November 2023, with the most extreme dry anomalies over the Plains to Midwest. The upper-level atmospheric circulation pattern led to above-normal temperatures in the north-central part of the country and cooler-than-normal temperatures in the Northeast.; The November precipitation total for the contiguous U.S. was 1.38 inches, 0.85 inch below average, ranking 12th driest in the historical record."
20231114,Total,53.23,46.77,31.46,18.07,7.52,2.31,2023-11-14,2023-11-20,1,2023-11-14,2023-11-14,2023-11-20,"Moderate to exceptional drought covers 31.4% of the United States including Puerto Rico.; The contiguous United States is experiencing moderate to exceptional drought, covering 31.5% of the area, including Puerto Rico.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a drier-than-normal month in November 2023, with the most extreme dry anomalies over the Plains to Midwest. The upper-level atmospheric circulation pattern led to above-normal temperatures in the north-central part of the country and cooler-than-normal temperatures in the Northeast.; The November precipitation total for the contiguous U.S. was 1.38 inches, 0.85 inch below average, ranking 12th driest in the historical record."
20231107,Total,53.58,46.42,31.48,18.26,7.16,2.1,2023-11-07,2023-11-13,1,2023-11-07,2023-11-07,2023-11-13,"The contiguous United States is experiencing moderate to exceptional drought, covering 31.5% of the area, including Puerto Rico.; October precipitation for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the historical record.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a drier-than-normal month in November 2023, with the most extreme dry anomalies over the Plains to Midwest. The upper-level atmospheric circulation pattern led to above-normal temperatures in the north-central part of the country and cooler-than-normal temperatures in the Northeast.; The November precipitation total for the contiguous U.S. was 1.38 inches, 0.85 inch below average, ranking 12th driest in the historical record."
20231031,Total,54.37,45.63,30.68,17.65,6.62,1.82,2023-10-31,2023-11-06,1,2023-10-31,2023-10-31,2023-11-06,"October precipitation for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the historical record.; The total annual amount of precipitation in the contiguous 48 states has changed since 1901, with a notable increase in heavy precipitation events.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**

* October 2023 was drier than normal from the Lower Mississippi Valley to East Coast, and parts of the central and northern Plains and Ohio Valley. 
* The month ended up wetter than normal from parts of the northern Rockies to Great Lakes and across parts of the southern Plains and New England. 
* The Standardized Precipitation Index (SPI) showed dryness from the Lower Mississippi Valley to Mid-Atlantic Coast at the 1-month time scale, and extended from there northward into the Ohio Valley and east and west along the Gulf Coast at 2-6 months. 

**; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The contiguous U.S. experienced a drier-than-normal month in November 2023, with the most extreme dry anomalies over the Plains to Midwest. The upper-level atmospheric circulation pattern led to above-normal temperatures in the north-central part of the country and cooler-than-normal temperatures in the Northeast.; Objective Facts about Monthly Contiguous U.S. Precipitation**

* The October precipitation total for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the 129-year record. 
* Precipitation was below average from the Lower Mississippi Valley to parts of the Mid-Atlantic and in parts of the Northwest, Southwest, central Plains, and Southeast. 
* No state ranked in their top-10 wettest October on record for this period. Conversely, North Carolina had the 10th driest October on record. 

**; The November precipitation total for the contiguous U.S. was 1.38 inches, 0.85 inch below average, ranking 12th driest in the historical record."
20231024,Total,51.32,48.68,33.43,19.9,7.59,2.19,2023-10-24,2023-10-30,1,2023-10-24,2023-10-24,2023-10-30,"The total annual amount of precipitation in the contiguous 48 states has changed since 1901, with a notable increase in heavy precipitation events.; The contiguous U.S. had its 18th-warmest October in the 129-year record.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**

* October 2023 was drier than normal from the Lower Mississippi Valley to East Coast, and parts of the central and northern Plains and Ohio Valley. 
* The month ended up wetter than normal from parts of the northern Rockies to Great Lakes and across parts of the southern Plains and New England. 
* The Standardized Precipitation Index (SPI) showed dryness from the Lower Mississippi Valley to Mid-Atlantic Coast at the 1-month time scale, and extended from there northward into the Ohio Valley and east and west along the Gulf Coast at 2-6 months. 

**; Objective Facts about Monthly Contiguous U.S. Precipitation**

* The October precipitation total for the contiguous U.S. was 2.14 inches, 0.05 inch below average, ranking in the middle third of the 129-year record. 
* Precipitation was below average from the Lower Mississippi Valley to parts of the Mid-Atlantic and in parts of the Northwest, Southwest, central Plains, and Southeast. 
* No state ranked in their top-10 wettest October on record for this period. Conversely, North Carolina had the 10th driest October on record. 

**"
