Month,Exports,Imports,OT,start_date,date,end_date,report_fact,search_fact,search_fact_summary_gpt_5_2
January 2024,160578.7,253800.2,-93221.5,2024-01-01,2024-01-01,2024-01-31,"Objective Facts**

* The goods and services deficit was $67.4 billion in January, up $3.3 billion from $64.2 billion in December.
* Exports were $257.2 billion, $0.3 billion more than December exports.
* Imports were $324.6 billion, $3.6 billion more than December imports.
* The average goods and services deficit increased $0.7 billion to $64.8 billion for the three months ending in January.
* Year-over-year, the average goods and services deficit decreased $3.7 billion from the three months ending in January 2023.



**; Objective facts about the Monthly international trade balance of U.S. situation:
The international trade deficit was $90.2 billion in January, up $2.3 billion from $87.9 billion in December. Exports of goods for January were $170.4 billion, $0.4 billion more than December exports. Imports of goods for January were $260.6 billion, $2.7 billion more than December imports.","The U.S. has shown GDP growth among G7 nations, with 2023 estimates and 2024 projections.; The U.S. economy added over 350,000 jobs in January 2024, exceeding expectations.; U.S. consumers, businesses, and government entities spent $2.39 trillion on food and beverages in 2022.; The real gross domestic product (GDP) of the United States increased by 2.5 percent in 2023 compared to 2022.","Stronger-than-peer GDP growth and a big January jobs gain point to resilient domestic demand over the next few months, which typically lifts imports (including consumer goods and inputs like food and beverages) faster than exports. That mix implies a mild widening of the U.S. trade deficit over the next 1–7 months unless external demand accelerates enough to offset the import impulse."
February 2024,167171.5,242611.4,-75439.9,2024-02-01,2024-02-01,2024-02-29,"The goods and services deficit was $68.9 billion in February, up $1.3 billion from $67.6 billion in January.; The international trade deficit was $91.8 billion in February, up $1.3 billion from $90.5 billion in January. Exports of goods for February were $175.1 billion, $4.8 billion more than January exports. Imports of goods for February were $266.9 billion, $6.1 billion more than January imports.","The US economy grew at an annual rate of 3.2% in the fourth quarter of 2023, according to the second estimate.; The U.S. economy added over 275,000 jobs in February 2024, exceeding expectations.; The United States launched the Indo-Pacific Economic Framework for Prosperity (IPEF) in May 2022 with a dozen initial partners across the Indo-Pacific.; The US economy is expected to post real growth of 2.4% in 2024 and 1.4% in 2025, despite an expected slowdown in the coming quarters.; The value added of private goods-producing industries increased 7.0 percent, and private services-producing industries increased in the fourth quarter .","Above-trend U.S. growth and strong job gains point to resilient household and business demand, likely pulling in more consumer goods, capital equipment, and intermediate inputs and widening the trade deficit over the next 1–7 months unless export growth accelerates markedly. IPEF may support longer-run supply-chain and market-access improvements, but its near-term effect is modest, so the dominant multi-month driver remains strong import demand relative to exports."
March 2024,179325.9,259144.7,-79818.8,2024-03-01,2024-03-01,2024-03-31,"The goods and services deficit was $69.4 billion in March 2024, down $0.1 billion from February 2024. Exports were $257.6 billion, $5.3 billion less than February exports, and imports were $327.0 billion, $5.4 billion less than February imports.; The international trade deficit was $91.8 billion in March, up $1.5 billion from $90.3 billion in February. Exports of goods were $169.2 billion, $6.1 billion less than February exports. Imports of goods were $261.0 billion, $4.6 billion less than February imports.","The U.S. economy is the largest bilateral trade and investment relationship with the European Union.; The U.S. economy added over 300,000 jobs in March, outpacing expectations.; The United States has a highly developed mixed economy, which is the world's largest economy by nominal GDP and the second largest by purchasing power parity.; The US economy grew at a 1.6% pace in the first quarter of 2024, slower than the previous quarter's 3.4% growth rate. The International Monetary Fund projects the US economy to grow 2.7% for all of 2024.","Strong job growth alongside continued, if moderating, GDP expansion points to resilient U.S. domestic demand that typically lifts imports faster than exports over the next 1–7 months, especially given the large trade channel with the EU. Net effect is a likely mild-to-moderate widening of the U.S. trade deficit in coming months unless external demand for U.S. goods/services accelerates enough to offset higher import volumes."
January 2023,165342.2,254438.5,-89096.3,2023-01-01,2023-01-01,2023-01-31,"The goods and services deficit was $68.3 billion in January, up $1.1 billion from $67.2 billion in December, revised. Exports were $257.5 billion, $8.5 billion more than December exports. Imports were $325.8 billion, $9.6 billion more than December imports.; The international trade deficit was $91.5 billion in January, up $1.8 billion from $89.7 billion in December. Exports of goods for January were $173.8 billion, $7.0 billion more than December exports. Imports of goods for January were $265.3 billion, $8.8 billion more than December imports.","The U.S. Commerce Department's Bureau of Economic Analysis (BEA) reported that the economy grew in the fourth quarter due to increases in jobs, incomes, and spending.; The U.S. goods and services deficit was $67.4 billion in December; The Federal Reserve's mandate is to achieve price stability and maximum employment, and higher interest rates would weaken the demand for workers and increase unemployment.; The US economy is projected to grow by just 0.1 percent in 2023, with real GDP increasing at an annual rate of 2.7 percent in the fourth quarter of 2022.","Stronger jobs, incomes, and spending imply firmer domestic demand that typically pulls in more imports, pointing to a wider U.S. trade deficit over the next few months versus December’s level. If higher interest rates meaningfully cool hiring and consumer demand as signaled, import growth should ease and the deficit could stabilize or narrow modestly toward the back end of the 1–7 month window."
February 2023,158850.8,230706.8,-71856.0,2023-02-01,2023-02-01,2023-02-28,"The goods and services deficit was $70.5 billion in February, up $1.9 billion from $68.7 billion in January.; The international trade deficit was $91.6 billion in February, up $0.5 billion from $91.1 billion in January. Exports of goods for February were $167.8 billion, $6.7 billion less than January exports. Imports of goods for February were $259.5 billion, $6.2 billion less than January imports.",The EB-5 Program was created in 1990 to stimulate the U.S. economy through job creation and capital investment by foreign investors.; The US government is taking decisive actions to protect the U.S. economy by strengthening public confidence in the banking system.; The U.S. Government has made substantial progress in evaluating climate risk to specific Federal investments.; The United States and Canada are committed to taking decisive action to grow the clean energy economy.,"Stronger banking-system confidence and expanded foreign capital inflows via EB‑5 are likely to support domestic demand and investment, which typically lifts imports over the next several months, while U.S.–Canada clean‑energy commitments may modestly boost cross‑border trade flows. Net effect over the next 1–7 months is a mild widening of the U.S. trade deficit (trade balance deteriorating), unless clean‑energy exports ramp faster than import growth."
March 2023,184620.5,262756.3,-78135.8,2023-03-01,2023-03-01,2023-03-31,"Objective facts about the Monthly international trade balance of U.S. situation**

* The goods and services deficit decreased by $6.4 billion to $64.2 billion in March 2023.
* Exports increased by $5.3 billion to $256.2 billion, while imports decreased by $1.1 billion to $320.4 billion.
* The average goods and services deficit decreased by $1.0 billion to $67.8 billion for the three months ending in March.



**; The international trade deficit was $84.6 billion in March, down $7.4 billion from $92.0 billion in February. Exports of goods for March were $172.7 billion, $4.9 billion more than February exports. Imports of goods for March were $257.3 billion, $2.5 billion less than February imports.","The current-dollar GDP increased 9.2% or $2.15 trillion in 2022, reaching a level of $25.46 trillion.; The U.S. commercial and recreational fisheries supported 2.3 million jobs in 2022, with an economic impact of $321 billion.; The United States economic growth is expected to come to a halt in the second half of 2023 due to higher interest rates and tighter financial conditions.; The United States aims to achieve a carbon pollution-free power sector by 2035 and a net zero emissions economy by no later than 2050.; The United States economy grew by 2.1% in 2022, with consumer spending being the main driver of growth.","Slowing U.S. growth in the second half of 2023 from tighter financial conditions should curb import demand more quickly than exports, modestly narrowing the trade deficit over the next 1–7 months. Medium-term decarbonization goals and a large fisheries sector are not immediate multi‑month shocks, so the near-term balance is likely dominated by softer domestic demand rather than a step-change in export volumes."
April 2023,162063.7,250751.8,-88688.2,2023-04-01,2023-04-01,2023-04-30,"The goods and services deficit was $74.6 billion in April, up $14.0 billion from $60.6 billion in March. Exports were $249.0 billion, $9.2 billion less than March exports. Imports were $323.6 billion, $4.8 billion more than March imports.; Objective facts about the Monthly international trade balance of U.S. situation**
The international trade deficit was $96.8 billion in April, up $14.1 billion from $82.7 billion in March. Exports of goods for April were $163.3 billion, $9.5 billion less than March exports. Imports of goods for April were $260.0 billion, $4.5 billion more than March imports. 

**","The United States is rapidly approaching the debt ceiling, with new analyses by the Congressional Budget Office and the U.S. Department of the Treasury suggesting a potential economic impact.; The US government is investing $2.8 billion to improve outdoor recreation opportunities, infrastructure on public lands, and the US economy through the Great American Outdoors Act .; The economic toll of the COVID-19 pandemic in the U.S. will reach $14 trillion by the end of 2023.; The U.S. economy has proven resilient in the face of significant tightening of both fiscal and monetary policy in 2022.","Debt-ceiling uncertainty and still-tight fiscal/monetary conditions are likely to weigh more on domestic demand and imports than on exports over the next 1–7 months, while the relatively small public-lands investment is unlikely to materially offset that near-term drag. Net effect: a modest improvement (narrowing) in the U.S. trade deficit is more likely than a deterioration, driven primarily by softer import growth."
May 2023,167127.6,264348.9,-97221.4,2023-05-01,2023-05-01,2023-05-31,"Objective facts about the Monthly international trade balance of U.S. situation:
The report provides data on goods and services trade, including exports, imports, and trade balances. However, it does not provide specific data on the monthly international trade balance of the U.S. for the period of May 2023.; Objective facts about the Monthly international trade balance of U.S. situation**
The international trade deficit was $91.1 billion in May, down $6.0 billion from $97.1 billion in April. Exports of goods for May were $162.8 billion, $1.0 billion less than April exports. Imports of goods for May were $254.0 billion, $6.9 billion less than April imports. 

**","The Build to Scale Program aims to strengthen regional economies by enabling startups to start and grow.; The size of the U.S economy is now over 5 percent above its 2019 level.; The Consumer Price Index (CPI) is a measure of the average change over time in the prices paid by urban consumers for a market basket of goods and services.; The U.S. economy is experiencing inflation, with it being the top concern for Americans, according to a Pew Research report.","Above‑trend U.S. growth alongside elevated inflation risk keeps domestic demand for goods and energy strong, tending to lift imports faster than exports and widen the trade deficit over the next 1–7 months. While startup‑support programs may help future competitiveness, they are unlikely to scale quickly enough to offset near‑term import‑driven pressure on the international trade balance."
June 2023,167303.0,257886.6,-90583.6,2023-06-01,2023-06-01,2023-06-30,"The goods and services deficit was $65.5 billion in June, down $2.8 billion from $68.3 billion in May.; Objective facts about the Monthly international trade balance of U.S. situation**
The international trade deficit was $87.8 billion in June, down $4.0 billion from $91.9 billion in May. Exports of goods for June were $162.5 billion, $0.4 billion more than May exports. Imports of goods for June were $250.3 billion, $3.6 billion less than May imports. 

**","The U.S. space economy accounted for $211.6 billion of gross output and 0.6 percent of GDP in 2021.; The EU-U.S. Privacy Shield Framework was designed to provide companies on both sides of the Atlantic with a mechanism to comply with EU data protection requirements.; The June Consumer Price Index (CPI) showed disinflation and deflation, indicating a slowdown in inflation in the U.S. economy.; Compensation costs for civilian workers in the US increased by 1.2% from December 2023 to March 2024, and 4.5% over the year.; The U.S. economy has continued to grow during the first half of 2023 despite economic risks.","Disinflation alongside still-rising compensation costs points to easing goods-price pressures but resilient domestic demand, which tends to keep import volumes supported over the next few months while not clearly boosting export competitiveness. With no clear trade-positive catalyst in the set (e.g., foreign demand surge or dollar weakening), the trade balance is more likely to stay roughly unchanged to modestly worsen over the next 1–7 months."
July 2023,159618.9,255665.9,-96047.1,2023-07-01,2023-07-01,2023-07-31,"Objective facts about the Monthly international trade balance of U.S. situation:
The goods and services deficit was $65.0 billion in July, up $1.3 billion from $63.7 billion in June. Year-to-date, the goods and services deficit decreased $128.3 billion, or 21.4 percent, from the same period in 2022.; Objective facts about the Monthly international trade balance of U.S. situation**
The international trade deficit was $91.2 billion in July, up $2.3 billion from $88.8 billion in June. Exports of goods for July were $164.8 billion, $2.4 billion more than June exports. Imports of goods for July were $256.0 billion, $4.7 billion more than June imports. 

**","The U.S. economy continued to show resilience and strength in the second quarter of 2023, with real GDP growing for the fourth consecutive quarter.; The U.S. economy has seen rising inequality and mounting costs from climate change in recent decades.; The current annual statutory cap for H-1B visas is 65,000 visas, which has been limited by Congress since the category was created in 1990.; The United States is Brazil's second-largest trading partner, and Brazil is the world's twelfth-largest economy.","Stronger U.S. growth over the next few months is likely to lift import demand faster than exports, keeping the trade balance biased toward a wider deficit in the next 1–7 months. Structural pressures from climate-related costs and rising inequality add downside risk to export capacity/competitiveness, while H‑1B cap constraints and stable Brazil ties look more neutral near-term and unlikely to offset import-driven deficit widening."
