date,OT,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),search_fact,search_fact_summary_gpt_5_2
1993-04-05,1.068,1.04,1.068,1.068,1.023,1.061,1.064,1.093,1.152,"The global oil market is experiencing changes due to shale gas production in the United States and rising oil production in Iraq, which may lead to lower oil prices.","[Notable Drop] Increased U.S. shale output and rising Iraqi production suggest lower global oil prices, which typically pushes U.S. gasoline prices down the following week."
1993-04-12,1.079,1.047,1.073,1.072,1.032,1.077,1.071,1.118,1.154,The United States suffered an oil embargo and the quadrupling of oil prices in 1973 due to its support for Israel.,"[No Notable Change] A historical note about the 1973 oil embargo and price quadrupling provides no current-week supply, demand, or refinery information to move next week’s U.S. gasoline prices."
1993-04-19,1.079,1.054,1.074,1.077,1.04,1.067,1.081,1.12,1.155,"Objective facts about the Economy and Energy situation:
Since the reform, market forces have generally set prices after years of comprehensive price control regulations in the Cook Islands. 
Latest US inflation report may provide clues to future path of prices and interest rates.","[No Notable Change] Cook Islands fuel pricing reform is unrelated to U.S. gasoline markets and the U.S. inflation report only hints at broader interest-rate expectations without a direct, immediate driver for next-week gasoline prices."
1993-04-26,1.086,1.059,1.076,1.08,1.046,1.078,1.081,1.169,1.157,"The country of origin for the KIA MPV (RV) is the United States, and it runs on Gasoline Fuel.","[No Notable Change] A fact about a Kia MPV’s U.S. origin and gasoline fuel type provides no information on crude supply/demand, refining, inventories, or policy that would move U.S. gasoline prices next week."
1993-05-03,1.086,1.062,1.08,1.084,1.05,1.073,1.084,1.161,1.161,"The price of gasoline and fuel oil was a concern in 1993, with a scheme to evade state taxes on their sale being uncovered in the United States.","[No Notable Change] A 1993 gasoline and fuel-oil tax-evasion scheme has no current supply, demand, or refining implications for next week’s U.S. gasoline prices."
1993-05-10,1.097,1.069,1.091,1.09,1.057,1.091,1.088,1.143,1.171,"The US oil and gas industry has interests in western US states, and the Wyoming Oil and Gas Commission has information on potential oil and gas drilling sites.","[No Notable Change] General information about Wyoming drilling interests provides no new supply, demand, or refinery disruption details that would move U.S. gasoline prices next week."
1993-05-17,1.106,1.073,1.096,1.095,1.06,1.107,1.097,1.136,1.177,The cost of practice varies among fuel and motor oil dealers and auctioneers in the United States.,"[No Notable Change] A general statement about varying costs among fuel and motor oil dealers and auctioneers provides no concrete supply, demand, or crude/refining disruption information that would move U.S. gasoline prices next week."
1993-05-24,1.106,1.075,1.096,1.094,1.064,1.103,1.096,1.17,1.178,"The Ploesti oil refinery is mentioned in the Joint Force Quarterly - Summer 1993 article, indicating that oil production and energy security were concerns in 1993.","[No Notable Change] A 1993 mention of Romania’s Ploesti refinery is historically oriented and provides no current supply, demand, or price signal affecting next week’s U.S. gasoline prices."
1993-05-31,1.107,1.078,1.097,1.099,1.065,1.102,1.096,1.164,1.186,"The price of gasoline was a significant factor in the United States and India in 1993, with the introduction of clear premium gasoline and the consideration of fuel costs in India.","[No Notable Change] A historical note about gasoline issues in 1993 provides no current supply, demand, refinery, or crude-market information that would move U.S. gasoline prices next week."
1993-06-07,1.104,1.078,1.102,1.098,1.064,1.095,1.095,1.149,1.188,"Objective facts about the Economy and Energy situation:
The price of petroleum products declined by between 20 cents and 40 cents a barrel in May 1993. 
Crude oil prices declined in May 1993. 
The prices of coconut oil, copra, and palm oil are expected to increase.","[No Notable Change] Crude oil and petroleum product prices declined in May 1993 while unrelated tropical oils are expected to rise, implying no clear week-ahead upward pressure on U.S. gasoline prices."
1993-06-14,1.101,1.076,1.103,1.097,1.062,1.092,1.094,1.137,1.188,"The real price of Gulf oil is underestimated, leading to an overestimation of the real price of alternative fuels.","[No Notable Change] An abstract claim that Gulf oil is “underestimated” versus alternative fuels provides no concrete supply, demand, refinery, inventory, or policy developments that would shift U.S. gasoline prices next week."
1993-06-21,1.095,1.075,1.101,1.095,1.062,1.077,1.09,1.132,1.186,"In 1993, the International Monetary Fund reported that price pressures eased in world oil markets.",[No Notable Change] A 1993 IMF note that oil-market price pressures eased is historical and provides no current-week supply/demand signal to move U.S. gasoline prices next week.
1993-06-28,1.089,1.072,1.1,1.095,1.057,1.068,1.087,1.12,1.182,"The United States Supreme Court based its decision in Phillips Petroleum Co. on the cost per unit of oil and gas produced, which affects the economy of oil and gas extraction.","[No Notable Change] A historical Supreme Court decision about oil and gas unit-cost calculations has no immediate effect on current crude supply/demand or refinery conditions, so U.S. gasoline prices should remain broadly stable next week."
1993-07-05,1.086,1.068,1.096,1.091,1.054,1.063,1.089,1.111,1.181,The price of oil was at rock bottom in 1993 until the Gulf War.,"[No Notable Change] A historical note about oil prices in 1993 and the Gulf War provides no current-week supply, demand, or policy information that would shift U.S. gasoline prices next week."
1993-07-12,1.081,1.066,1.095,1.09,1.05,1.054,1.083,1.134,1.177,"In 1993, about 83% of recycled used oil in the United States was reprocessed for use as fuel.","[No Notable Change] A historical fact about used-oil recycling in 1993 provides no current supply, demand, or refinery information that would move U.S. gasoline prices next week."
1993-07-19,1.075,1.062,1.091,1.086,1.046,1.045,1.08,1.124,1.172,"The state energy conglomerate ENI was involved in a scandal in 1993, which led to the suicide of its former chairman Gabriele Cagliari.","[No Notable Change] A 1993 scandal involving Italy’s ENI has no direct, current supply-demand or refinery implication for U.S. gasoline markets next week."
1993-07-26,1.069,1.059,1.089,1.083,1.043,1.036,1.075,1.114,1.168,The presumptive NOx RACT emissions rates for gas/oil are 0.20 to 0.30.,"[No Notable Change] Emissions-rate presumptions for NOx RACT at 0.20–0.30 do not indicate an immediate shift in crude supply, refinery output, or demand that would materially move U.S. gasoline prices next week."
1993-08-02,1.062,1.054,1.086,1.077,1.038,1.028,1.07,1.103,1.158,"The Clinton administration passed a budget bill in August 1993, which included a gasoline tax increase from 14.1 cents to 18.4 cents per gallon.","[No Notable Change] A historical 1993 federal gasoline tax increase has no bearing on current-week supply, demand, or tax policy, so it implies no near-term change in U.S. gasoline prices."
1993-08-09,1.06,1.051,1.081,1.076,1.035,1.026,1.067,1.092,1.159,"The proposed tax rates in Alaska in 1993 would have resulted in people using fuel oil for heating paying the most, about $88 per household.","[No Notable Change] A 1993 Alaska proposal about household heating fuel oil taxes has no direct, current-week relevance to U.S. gasoline supply, demand, or pricing."
1993-08-16,1.059,1.047,1.077,1.075,1.03,1.025,1.064,1.134,1.154,"Objective facts about the Economy and Energy situation: 
NA","[No Notable Change] No economy or energy facts were provided to indicate a supply, demand, or price shock that would move U.S. gasoline prices next week."
1993-08-23,1.065,1.045,1.072,1.074,1.028,1.043,1.067,1.129,1.155,"Objective facts about the Economy and Energy situation: 
The price of oil was around $28 a barrel in August 1993. 
The copper price changes export earnings by one US cent.","[No Notable Change] The provided facts are historical oil and copper price notes from 1993 with no current-week supply, demand, or refinery information affecting next week’s U.S. gasoline prices."
1993-08-30,1.062,1.041,1.069,1.068,1.024,1.04,1.062,1.121,1.155,"The United States experienced rapid growth in 1993, which contributed to an external surplus.","[No Notable Change] A historical note about U.S. economic growth in 1993 provides no current-week supply, demand, or crude/refining information relevant to next week’s U.S. gasoline prices."
1993-09-06,1.055,1.037,1.065,1.065,1.02,1.029,1.06,1.108,1.154,"Objective facts about the Economy and Energy situation: 
The cost of fuel is a significant factor in the total cost of rulemaking for ultralight vehicles in the United States .","[No Notable Change] The statement only notes that fuel costs matter for ultralight vehicle rulemaking and provides no new supply, demand, refinery, or crude-price information that would move U.S. gasoline prices next week."
1993-09-13,1.051,1.034,1.068,1.063,1.016,1.02,1.054,1.108,1.154,"The United States had various economic and energy-related activities in 1993, including discussions on tuition prices, NOx emissions from process heaters, Pigouvian tax on gasoline, and the national information infrastructure.","[No Notable Change] The content is historical (1993) and contains no current-week supply, demand, refinery, crude, or policy developments that would affect next week’s U.S. gasoline prices."
1993-09-20,1.045,1.028,1.063,1.059,1.009,1.009,1.05,1.093,1.165,"The United States was involved in various economy and energy-related activities in September 1993, including investment in fuel expansion, oil price fluctuations, and natural gas development.","[No Notable Change] The single article is a historical summary from September 1993 with no current-week supply, demand, or crude/refining developments, so it provides no actionable signal for next-week U.S. gasoline prices."
1993-09-27,1.047,1.024,1.06,1.057,1.003,1.016,1.042,1.132,1.171,"Sunflower oil has been researched as a potential diesel fuel substitute, since sunflower oil has an energy content equivalent to 93 percent of number 2 U.S. diesel fuel.","[No Notable Change] Research on sunflower oil as a potential diesel substitute is speculative and not an immediate factor affecting U.S. gasoline supply, demand, or crude prices next week."
1993-10-04,1.092,1.068,1.101,1.104,1.047,1.063,1.086,1.155,1.22,The United States consumes 20% of the world's oil produced.,"[No Notable Change] A static fact about U.S. oil consumption share provides no new supply, demand, or refining disruption information that would move gasoline prices next week."
1993-10-11,1.09,1.064,1.092,1.102,1.042,1.065,1.081,1.144,1.215,The price of gasoline increased due to U.N. sanctions in Haiti in 1993.,[No Notable Change] A 1993 gasoline price increase tied to U.N. sanctions in Haiti is outdated and provides no actionable signal for next week’s U.S. gasoline prices.
1993-10-18,1.093,1.063,1.093,1.1,1.041,1.078,1.078,1.149,1.209,"The United States government has taken executive actions related to energy and economy, such as Executive Order 12873, which aims to reduce energy consumption and promote energy efficiency.","[No Notable Change] An executive order promoting energy efficiency is a long-term demand-side policy with no immediate, week-ahead impact on U.S. gasoline supply or pricing."
