date,OT,Weekly East Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly New England (PADD 1A) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Central Atlantic (PADD 1B) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Lower Atlantic (PADD 1C) All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Midwest All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Gulf Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly Rocky Mountain All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly West Coast All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),search_fact,search_fact_summary_gpt_5_2
1993-04-05,1.068,1.04,1.068,1.068,1.023,1.061,1.064,1.093,1.152,"The global oil market is experiencing changes due to shale gas production in the United States and rising oil production in Iraq, which may lead to lower oil prices.","Rising U.S. shale output and increasing oil production in Iraq were reported as adding supply to the global oil market, a shift associated with downward pressure on crude prices. Lower crude prices can feed through to lower U.S. gasoline costs over the following weeks."
1993-04-12,1.079,1.047,1.073,1.072,1.032,1.077,1.071,1.118,1.154,The United States suffered an oil embargo and the quadrupling of oil prices in 1973 due to its support for Israel.,"A 1973 oil embargo against the United States tied to its support for Israel led to a rapid surge in crude oil prices (about quadrupling). The episode highlights that geopolitically driven supply disruptions can quickly raise oil and, by extension, gasoline costs."
1993-04-19,1.079,1.054,1.074,1.077,1.04,1.067,1.081,1.12,1.155,"Objective facts about the Economy and Energy situation:
Since the reform, market forces have generally set prices after years of comprehensive price control regulations in the Cook Islands. 
Latest US inflation report may provide clues to future path of prices and interest rates.","Market-based fuel pricing has been implemented in the Cook Islands after years of comprehensive price controls.  
A new U.S. inflation report is being watched for signals on the future path of prices and interest rates."
1993-04-26,1.086,1.059,1.076,1.08,1.046,1.078,1.081,1.169,1.157,"The country of origin for the KIA MPV (RV) is the United States, and it runs on Gasoline Fuel.",No news or market information relevant to near-term U.S. gasoline price forecasting was provided; the only content states that a KIA MPV’s country of origin is the United States and that it uses gasoline fuel.
1993-05-03,1.086,1.062,1.08,1.084,1.05,1.073,1.084,1.161,1.161,"The price of gasoline and fuel oil was a concern in 1993, with a scheme to evade state taxes on their sale being uncovered in the United States.","A U.S. scheme to evade state taxes on gasoline and fuel oil sales was uncovered in 1993, highlighting concerns about pump prices and the role of state fuel taxes in retail pricing. No near-term supply, demand, refinery, inventory, or crude-oil market details were provided."
1993-05-10,1.097,1.069,1.091,1.09,1.057,1.091,1.088,1.143,1.171,"The US oil and gas industry has interests in western US states, and the Wyoming Oil and Gas Commission has information on potential oil and gas drilling sites.","U.S. oil and gas industry activity includes interests in western states, and the Wyoming Oil and Gas Commission provides information on potential drilling sites in Wyoming. The material does not include specific near-term data on crude output, refinery operations, inventories, demand, or prices that would directly inform U.S. gasoline price forecasts over the next 1–7 weeks."
1993-05-17,1.106,1.073,1.096,1.095,1.06,1.107,1.097,1.136,1.177,The cost of practice varies among fuel and motor oil dealers and auctioneers in the United States.,"Practice costs differ across U.S. fuel and motor oil dealers and auctioneers, implying variability in operating expenses across the fuel distribution chain. No specific changes to crude prices, refinery operations, inventories, demand, or retail gasoline pricing were reported."
1993-05-24,1.106,1.075,1.096,1.094,1.064,1.103,1.096,1.17,1.178,"The Ploesti oil refinery is mentioned in the Joint Force Quarterly - Summer 1993 article, indicating that oil production and energy security were concerns in 1993.","The only provided reference is a 1993 Joint Force Quarterly mention of the Ploesti oil refinery in the context of oil production and energy security concerns, with no current-week U.S. crude, refinery, inventory, demand, policy, or disruption details. No actionable near-term (1–7 week) indicators for U.S. gasoline prices are included."
1993-05-31,1.107,1.078,1.097,1.099,1.065,1.102,1.096,1.164,1.186,"The price of gasoline was a significant factor in the United States and India in 1993, with the introduction of clear premium gasoline and the consideration of fuel costs in India.","Gasoline prices were highlighted as a significant issue in the United States in 1993, including the introduction of “clear premium” gasoline. India was also weighing fuel costs during the same period."
1993-06-07,1.104,1.078,1.102,1.098,1.064,1.095,1.095,1.149,1.188,"Objective facts about the Economy and Energy situation:
The price of petroleum products declined by between 20 cents and 40 cents a barrel in May 1993. 
Crude oil prices declined in May 1993. 
The prices of coconut oil, copra, and palm oil are expected to increase.","Petroleum product prices fell by roughly $0.20–$0.40 per barrel in May 1993, alongside a decline in crude oil prices. Coconut oil, copra, and palm oil prices were expected to rise."
