station,sample,split,timestamp,value,hasrain,text
USW00003017,12,input,2023-06-16 00:00:00,22.2,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 01:00:00,19.6,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 02:00:00,17.0,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 03:00:00,14.4,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 04:00:00,13.866666666666667,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 05:00:00,13.333333333333334,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 06:00:00,12.8,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 07:00:00,12.8,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 08:00:00,12.8,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
USW00003017,12,input,2023-06-16 09:00:00,12.8,False,"The following events were reported: Flash Flood, Hail. These occurred near station USW00003017, approximately 29.9337 km away, between 2023-06-21 17:54:00 and 2023-06-22 00:15:00. The events included records with hailstones measuring 1.1057894736842104 inches.The events resulted in 0 injuries and 1 fatalities. The events caused property damage valued at 100000.0 and crop damage of 0.0. Episode Narrative: Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Scores of  tornadoes occurred across Washington and Logan counties. Several rounds of hail across the Denver metro, with ping pong ball sized hail in downtown, larger hail up to 2 inches in diameter at concert in Red Rocks Amphitheatre. In all, seven patrons were hospitalized,  with 83 treated on scene. A substantial number of attendees suffered welts, bruises and broken fingers trying to protect themselves. Several suffered concussions as well. A total of 33 tornadoes touched down in Washington County, with 3 reported in Logan County. There were reports of at least one home damaged west of Sterling and one commercial building collapse in Sterling. The home was damaged by one of the tornadoes.||Significant flooding and flash flooding also occurred in portions of the plains, including Elbert, Arapahoe, Adams, Logan, Washington and Morgan counties. There were likely several rural roads that flooded due to the heavy rainfall. There was a flood fatality just south of I-70 along Watkins Rd. First responders found two stranded cars swept into a field, but its occupants had either gotten out or had been rescued. The third vehicle ended up west of Watkins and 6th Ave. in what is normally a dry creek bed. South Metro���s water rescue team was then called out to do a water rescue but that operation turned into a recovery by the following morning. Due to flooding, Watkins Road was closed between Interstate 70 and Jewell Ave. Interstate 70 was also closed for several hours until water could recede from flooded underpasses. Minor flooding also occurred in portions of the Denver and the surrounding metro area. Baseball size hail was observed in Washington County. In Clear Creek County, a thunderstorm wind gusts to 68 mph was recorded. Long duration severe weather event across the northeast plains, and most of the Denver metropolitan area beginning during the early afternoon hours. Event Narrative:        Heavy rain caused extensive street flooding. Water rescues conducted between North Watkins Road near East 6th Ave south of Watkins. Occupant in one of the vehicles drowned."
